Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"	"TAU score - Tissue"	"TAU score - Blood"	"TAU score - Brain"	"TAU score - Single Cell Type"	"TAU score - Single nuclei brain"	"Tissue RNA - endometrium 1 [nTPM]"
NECAP1	DKFZP566B183	ENSG00000089818	"NECAP endocytosis associated 1"	Q8NC96	12	8076939-8097881	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Endocytosis, Protein transport, Transport"		Epilepsy	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (7.77e-2)"	0.36	0.26	0.18	0.31	0.56	9.9
NECAP2	FLJ10420	ENSG00000157191	"NECAP endocytosis associated 2"	Q9NVZ3	1	16440721-16460078	"Predicted intracellular proteins"	"Endocytosis, Protein transport, Transport"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.68e-3)"	0.23	0.14	0.10	0.30	0.23	22.1
NECTIN1	"CD111, CLPED1, ED4, HIgR, HVEC, Nectin-1, OFC7, PRR, PRR1, PVRL1, PVRR1, SK-12"	ENSG00000110400	"Nectin cell adhesion molecule 1"	Q15223	11	119623408-119729200	"CD markers, Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"	"Cell adhesion, Host-virus interaction"	"Host cell receptor for virus entry, Receptor"	"Ectodermal dysplasia"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.45e-3)"	0.56	0.91	0.12	0.59	0.38	3.3
NECTIN2	"CD112, HVEB, Nectin-2, PRR2, PVRL2, PVRR2"	ENSG00000130202	"Nectin cell adhesion molecule 2"	Q92692	19	44846175-44889223	"CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion, Host-virus interaction"	"Host cell receptor for virus entry, Receptor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.39e-1)"	0.18	0.84	0.18	0.37	0.52	43.5
NECTIN3	"CD113, CDw113, DKFZP566B0846, nectin-3, PPR3, PVRL3, PVRR3"	ENSG00000177707	"Nectin cell adhesion molecule 3"	Q9NQS3	3	111070071-111275563	"CD markers, Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.33e-2)"	0.48	"Not detected"	0.10	0.53	0.33	7.4
NECTIN4	"LNIR, nectin-4, PRR4, PVRL4"	ENSG00000143217	"Nectin cell adhesion molecule 4"	Q96NY8	1	161070998-161089558	"Disease related genes, Human disease related genes, Predicted membrane proteins, Predicted secreted proteins"	"Cell adhesion, Host-virus interaction"	"Host cell receptor for virus entry, Receptor"	"Disease variant, Ectodermal dysplasia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.02e-1)"	0.71	"Not detected"	0.19	0.76	"Not detected"	1.2
NEDD1	"GCP-WD, TUBGCP7"	ENSG00000139350	"NEDD1 gamma-tubulin ring complex targeting factor"	Q8NHV4	12	96907224-96953780	"Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.09e-2)"	0.37	0.22	0.20	0.58	0.45	12.3
NEDD4	"KIAA0093, MGC176705, NEDD4-1, RPF1"	ENSG00000069869	"NEDD4 E3 ubiquitin protein ligase"	P46934	15	55826922-55993660	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Transporters"	"Host-virus interaction, Neurogenesis, Ubl conjugation pathway"	Transferase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"		0.56	"Not detected"	0.16	0.55	0.47	6.9
NEDD4L	"KIAA0439, NEDD4-2, RSP5"	ENSG00000049759	"NEDD4 like E3 ubiquitin protein ligase"	Q96PU5	18	58044226-58401540	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Differentiation, Host-virus interaction, Ubl conjugation pathway"	Transferase	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.54e-1)"	0.32	0.81	0.15	0.38	0.16	5.1
NEDD8	Nedd-8	ENSG00000129559	"NEDD8 ubiquitin like modifier"	Q15843	14	24216857-24232367	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	"Ubl conjugation pathway"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.73e-1)"	0.13	0.10	0.06	0.25	0.14	142.7
NEDD9	"CAS-L, CASS2, HEF1"	ENSG00000111859	"Neural precursor cell expressed, developmentally down-regulated 9"	Q14511	6	11183298-11382348	"Plasma proteins, Predicted intracellular proteins"	"Cell adhesion, Cell cycle, Cell division, Growth regulation, Mitosis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.25e-1)"	0.33	0.36	0.14	0.41	0.45	18.6
NEFM	"NEF3, NF-M, NFM"	ENSG00000104722	"Neurofilament medium chain"	P07197	8	24913758-24919098	"Plasma proteins, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"		0.80	"Not detected"	0.22	0.79	0.43	3.8
NEGR1	"IGLON4, KILON, MGC46680, Ntra"	ENSG00000172260	"Neuronal growth regulator 1"	Q7Z3B1	1	71395943-72282539	"Plasma proteins, Predicted membrane proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (8.68e-2)"	0.47	"Not detected"	0.15	0.81	0.19	5.1
NEIL1	"FLJ22402, FPG1, hFPG1, NEI1"	ENSG00000140398	"Nei like DNA glycosylase 1"	Q96FI4	15	75346955-75357115	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"DNA damage, DNA repair"	"DNA-binding, Glycosidase, Hydrolase, Lyase, Multifunctional enzyme"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.62e-2)"	0.38	0.74	0.16	0.38	0.20	9.7
NEIL2	"FLJ31644, MGC2832, MGC4505, NEH2"	ENSG00000154328	"Nei like DNA glycosylase 2"	Q969S2	8	11769639-11787345	"Enzymes, Predicted intracellular proteins"	"DNA damage, DNA repair"	"DNA-binding, Glycosidase, Hydrolase, Lyase, Multifunctional enzyme"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"potential prognostic favorable (4.63e-4)"	0.26	0.35	0.09	0.48	0.16	9.1
NEK1	"KIAA1901, NY-REN-55"	ENSG00000137601	"NIMA related kinase 1"	Q96PY6	4	169369704-169612632	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Cell cycle, Cell division, Cilium biogenesis/degradation, Mitosis"	"Kinase, Serine/threonine-protein kinase, Transferase, Tyrosine-protein kinase"	"Amyotrophic lateral sclerosis, Ciliopathy, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (8.65e-2)"	0.26	0.50	0.12	0.43	0.13	6.4
NEK11	FLJ23495	ENSG00000114670	"NIMA related kinase 11"	Q8NG66	3	131026850-131350465	"Enzymes, Predicted intracellular proteins"	"Cell cycle"	"Kinase, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.96e-2)"	0.60	"Not detected"	0.29	0.68	0.40	4.7
NEK2	"NEK2A, NLK1, PPP1R111, RP67"	ENSG00000117650	"NIMA related kinase 2"	P51955	1	211658657-211675630	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Cell cycle, Cell division, Chromosome partition, Meiosis, Mitosis"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Retinitis pigmentosa"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (8.97e-2)"	0.80	0.73	0.10	0.82	0.83	1.2
NEK3	"HSPK36, MGC29949"	ENSG00000136098	"NIMA related kinase 3"	P51956	13	52132639-52159861	"Enzymes, Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis"	"Kinase, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.86e-3)"	0.27	0.44	0.19	0.50	0.51	9.5
NEK4	"NRK2, pp12301, STK2"	ENSG00000114904	"NIMA related kinase 4"	P51957	3	52708444-52770946	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis"	"Kinase, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.48e-1)"	0.42	0.41	0.05	0.45	0.22	8.5
NEK6	SID6-1512	ENSG00000119408	"NIMA related kinase 6"	Q9HC98	9	124257606-124353307	"Enzymes, Predicted intracellular proteins, Transporters"	"Apoptosis, Cell cycle, Cell division, Chromosome partition, Mitosis"	"Kinase, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (8.06e-3)"	0.38	0.34	0.08	0.51	0.46	11.8
NEK7		ENSG00000151414	"NIMA related kinase 7"	Q8TDX7	1	198156994-198322420	"Enzymes, Predicted intracellular proteins, Transporters"		"Kinase, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.61e-2)"	0.33	0.51	0.06	0.42	0.33	25.8
NEK8	NPHP9	ENSG00000160602	"NIMA related kinase 8"	Q86SG6	17	28725897-28743455	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"	"Ciliopathy, Disease variant, Nephronophthisis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.38e-2)"	0.44	0.74	0.29	0.53	0.54	1.4
NEK9	"DKFZp434D0935, MGC16714, Nek8, NERCC, NERCC1"	ENSG00000119638	"NIMA related kinase 9"	Q8TD19	14	75079353-75127344	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"Cell cycle, Cell division, Mitosis"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.31e-1)"	0.23	0.30	0.08	0.31	0.10	25.2
NELFA	"NELF-A, WHSC2"	ENSG00000185049	"Negative elongation factor complex member A"	Q9H3P2	4	1982717-2041903	"Plasma proteins, Predicted intracellular proteins"	"Transcription, Transcription regulation"	Repressor		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.06e-1)"	0.25	0.16	0.04	0.28	0.24	11.0
NELFB	"COBRA1, KIAA1182, NELF-B"	ENSG00000188986	"Negative elongation factor complex member B"	Q8WX92	9	137255327-137273542	"Predicted intracellular proteins"	"Transcription, Transcription regulation"	"Repressor, RNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.85e-3)"	0.18	0.24	0.05	0.20	0.21	24.0
NELFCD	"HSPC130, NELF-C, NELF-D, TH1, TH1L"	ENSG00000101158	"Negative elongation factor complex member C/D"	Q8IXH7	20	58981208-58995133	"Predicted intracellular proteins"	"Transcription, Transcription regulation"	"Repressor, RNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.06e-1)"	0.10	0.14	0.06	0.29	0.09	17.6
NELFE	"D6S45, NELF-E, RD, RDBP, RDP"	ENSG00000204356	"Negative elongation factor complex member E"	P18615	6	31952087-31959038	"Predicted intracellular proteins"	"Transcription, Transcription regulation"	"Repressor, RNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (8.09e-2)"	0.29	0.08	0.06	0.48	0.26	48.5
NELL2	NRP2	ENSG00000184613	"Neural EGFL like 2"	Q99435	12	44508275-44921848	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	Neurogenesis			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.32e-1)"	0.64	0.71	0.21	0.87	0.33	2.1
NEMF	"FLJ10051, NY-CO-1, RQC2, SDCCAG1"	ENSG00000165525	"Nuclear export mediator factor"	O60524	14	49782083-49852821	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			"Disease variant, Intellectual disability, Neuropathy"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.53e-2)"	0.26	0.13	0.07	0.23	0.09	15.7
NEMP1	"KIAA0286, TMEM194, TMEM194A"	ENSG00000166881	"Nuclear envelope integral membrane protein 1"	O14524	12	57055643-57088063	"Predicted membrane proteins, Transporters"	"Erythrocyte maturation"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.07e-2)"	0.34	0.36	0.11	0.59	0.29	8.0
NEMP2	TMEM194B	ENSG00000189362	"Nuclear envelope integral membrane protein 2"	A6NFY4	2	190504338-190534722	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (3.60e-2)"	0.50	0.50	0.24	0.61	0.44	1.3
NENF	"CIR2, SCIRP10, SPUF"	ENSG00000117691	"Neudesin neurotrophic factor"	Q9UMX5	1	212432920-212446379	"Plasma proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.98e-2)"	0.24	0.38	0.08	0.26	0.31	57.8
NEO1	"HsT17534, IGDCC2, NGN, NTN1R2"	ENSG00000067141	"Neogenin 1"	Q92859	15	73051710-73305205	"Cancer-related genes, Plasma proteins, Predicted membrane proteins"	"Cell adhesion"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.78e-1)"	0.31	"Not detected"	0.13	0.57	0.23	19.0
NEPRO	"C3orf17, DKFZP434F2021, NET17"	ENSG00000163608	"Nucleolus and neural progenitor protein"	Q6NW34	3	113002444-113019861	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"		"Developmental protein"	"Disease variant, Dwarfism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.01e-1)"	0.27	0.40	0.07	0.28	0.09	8.1
NES	FLJ21841	ENSG00000132688	Nestin	P48681	1	156668763-156677407	"Plasma proteins, Predicted intracellular proteins"	Neurogenesis	"Developmental protein"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.74e-2)"	0.44	"Not detected"	0.13	0.79	0.76	39.7
NET1	"ARHGEF8, NET1A"	ENSG00000173848	"Neuroepithelial cell transforming 1"	Q7Z628	10	5412557-5459056	"Plasma proteins, Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"	Proto-oncogene	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.32e-2)"	0.22	0.65	0.13	0.36	0.54	40.5
NETO2	"FLJ10430, NEOT2"	ENSG00000171208	"Neuropilin and tolloid like 2"	Q8NC67	16	47077703-47143945	"Predicted membrane proteins, Transporters"		Receptor		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.06e-2)"	0.53	"Not detected"	0.23	0.72	0.35	2.1
NEU1	NEU	ENSG00000204386	"Neuraminidase 1"	Q99519	6	31857659-31862905	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"	"Carbohydrate metabolism, Lipid degradation, Lipid metabolism"	"Glycosidase, Hydrolase"	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.61e-1)"	0.42	0.78	0.17	0.36	0.16	18.9
NEU3		ENSG00000162139	"Neuraminidase 3"	Q9UQ49	11	74988279-75018893	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Carbohydrate metabolism, Lipid degradation, Lipid metabolism"	"Glycosidase, Hydrolase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.54e-1)"	0.41	0.35	0.06	0.55	0.25	4.7
NEURL1	"h-neu, neu-1, NEURL, RNF67"	ENSG00000107954	"Neuralized E3 ubiquitin protein ligase 1"	O76050	10	103493705-103592546	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Notch signaling pathway, Translation regulation, Ubl conjugation pathway"	Transferase	"Tumor suppressor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (6.83e-3)"	0.64	0.78	0.15	0.74	0.31	25.0
NEURL1B	"DKFZP761M1511, Neur2, RNF67B"	ENSG00000214357	"Neuralized E3 ubiquitin protein ligase 1B"	A8MQ27	5	172641263-172691540	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Notch signaling pathway, Ubl conjugation pathway"	Transferase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.48e-3)"	0.29	"Not detected"	0.39	0.69	0.59	23.9
NEURL2	"C20orf163, dJ337O18.6, FLJ30259, Ozz, Ozz-E3"	ENSG00000124257	"Neuralized E3 ubiquitin protein ligase 2"	Q9BR09	20	45888625-45891208	"Predicted intracellular proteins"	"Ubl conjugation pathway"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (1.56e-1)"	0.45	0.65	0.11	0.62	0.39	6.0
NEURL4	KIAA1787	ENSG00000215041	"Neuralized E3 ubiquitin protein ligase 4"	Q96JN8	17	7315628-7329393	"Predicted intracellular proteins"	"Ubl conjugation pathway"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.58e-1)"	0.35	"Not detected"	0.13	0.52	0.14	11.0
NEXN	"NELIN, nexilin"	ENSG00000162614	"Nexilin F-actin binding protein"	Q0ZGT2	1	77888513-77943895	"Disease related genes, Human disease related genes, Predicted intracellular proteins"		Actin-binding	"Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.13e-2)"	0.55	0.75	0.30	0.77	0.46	76.4
NF1		ENSG00000196712	"Neurofibromin 1"	P21359	17	31094927-31382116	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins"		"GTPase activation"	"Cancer-related genes, Disease variant, Tumor suppressor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.19e-1)"	0.25	0.64	0.02	0.39	0.06	11.3
NF2	"ACN, BANF, merlin, merlin-1, SCH"	ENSG00000186575	"NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor"	P35240	22	29603556-29698598	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			"Cancer-related genes, Deafness, Disease variant, Tumor suppressor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.83e-1)"	0.31	0.23	0.10	0.45	0.11	10.8
NFASC	"FLJ46866, KIAA0756, NF, NRCAML"	ENSG00000163531	Neurofascin	O94856	1	204828651-205022822	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion"		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.01e-1)"	0.46	"Not detected"	0.11	0.73	0.28	8.0
NFAT5	"KIAA0827, NF-AT5, NFATL1, NFATZ, OREBP, TONEBP"	ENSG00000102908	"Nuclear factor of activated T cells 5"	O94916	16	69565094-69704666	"Predicted intracellular proteins, Transcription factors"	"DNA damage, Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.71e-3)"	0.34	"Not detected"	0.06	0.38	0.08	3.2
NFATC1	"NF-ATC, NFAT2, NFATc"	ENSG00000131196	"Nuclear factor of activated T cells 1"	O95644	18	79395856-79529325	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding, Repressor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.68e-1)"	0.45	0.36	0.37	0.57	0.69	7.5
NFATC2	"NF-ATP, NFAT1, NFATp"	ENSG00000101096	"Nuclear factor of activated T cells 2"	Q13469	20	51386957-51562831	"Cancer-related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.50e-2)"	0.45	0.54	0.37	0.62	0.65	3.8
NFATC2IP	"ESC2, FLJ14639, NIP45, RAD60"	ENSG00000176953	"Nuclear factor of activated T cells 2 interacting protein"	Q8NCF5	16	28950807-28967092	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.30e-2)"	0.19	0.43	0.10	0.26	0.12	22.5
NFATC3	"NFAT4, NFATX"	ENSG00000072736	"Nuclear factor of activated T cells 3"	Q12968	16	68084751-68229259	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.01e-3)"	0.45	0.23	0.07	0.45	0.28	9.7
NFATC4	NFAT3	ENSG00000100968	"Nuclear factor of activated T cells 4"	Q14934	14	24365673-24379604	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.49e-1)"	0.36	"Not detected"	0.15	0.71	0.75	79.4
NFE2L1	"FLJ00380, LCR-F1, NRF-1, NRF1, TCF11"	ENSG00000082641	"NFE2 like bZIP transcription factor 1"	Q14494	17	48048329-48061545	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Cholesterol metabolism, Lipid metabolism, Steroid metabolism, Sterol metabolism, Transcription, Transcription regulation"	"Activator, DNA-binding, Repressor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.21e-2)"	0.34	0.50	0.10	0.40	0.22	144.6
NFE2L2	"NRF-2, NRF2"	ENSG00000116044	"NFE2 like bZIP transcription factor 2"	Q16236	2	177218667-177392756	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Host-virus interaction, Transcription, Transcription regulation"	"Activator, DNA-binding"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.56e-1)"	0.20	0.13	0.04	0.27	0.24	85.4
NFE2L3	Nrf3	ENSG00000050344	"NFE2 like bZIP transcription factor 3"	Q9Y4A8	7	26152198-26187137	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.05e-2)"	0.66	"Not detected"	0.15	0.75	0.32	2.1
NFIA	"KIAA1439, NFI-L"	ENSG00000162599	"Nuclear factor I A"	Q12857	1	60865259-61462788	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"DNA replication, Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.55e-2)"	0.30	0.35	0.11	0.34	0.24	9.3
NFIB	"NFI-RED, NFIB2, NFIB3"	ENSG00000147862	"Nuclear factor I B"	O00712	9	14081843-14398983	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"	"DNA replication, Transcription, Transcription regulation"	"Activator, DNA-binding"	"Cancer-related genes, Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.08e-1)"	0.29	"Not detected"	0.09	0.39	0.25	12.5
NFIC	"CTF, CTF5, NF-I, NFI"	ENSG00000141905	"Nuclear factor I C"	P08651	19	3314403-3469217	"Predicted intracellular proteins, Transcription factors"	"DNA replication, Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.74e-2)"	0.39	0.50	0.06	0.27	0.21	51.9
NFIL3	"E4BP4, IL3BP1, NF-IL3A, NFIL3A"	ENSG00000165030	"Nuclear factor, interleukin 3 regulated"	Q16649	9	91409045-91423832	"Predicted intracellular proteins, Transcription factors"	"Biological rhythms, Transcription, Transcription regulation"	"Activator, DNA-binding, Repressor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.29e-1)"	0.29	0.83	0.11	0.45	0.53	59.9
NFIX	NF1A	ENSG00000008441	"Nuclear factor I X"	Q14938	19	12995475-13098796	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"DNA replication, Transcription, Transcription regulation"	"Activator, DNA-binding"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.56e-1)"	0.38	"Not detected"	0.06	0.42	0.29	85.5
NFKB1	"KBF1, NF-kappaB, NF-kB1, NFkappaB, NFKB-p50, p105, p50"	ENSG00000109320	"Nuclear factor kappa B subunit 1"	P19838	4	102501330-102617302	"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins, Transcription factors"	"Apoptosis, Transcription, Transcription regulation"	"Activator, DNA-binding"	"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.41e-1)"	0.30	0.48	0.08	0.47	0.13	17.7
